model_name,hour,unique_count
Llama_3.2_11B,2025-02-28 05:00:00+00:00,8
gpt-4o,2025-02-28 05:00:00+00:00,66
Llama_3.2_11B,2025-02-28 06:00:00+00:00,522
gpt-4o,2025-02-28 06:00:00+00:00,200
Llama_3.2_11B,2025-02-28 07:00:00+00:00,676
gpt-4o,2025-02-28 07:00:00+00:00,79
Llama_3.2_11B,2025-02-28 08:00:00+00:00,578
gpt-4o,2025-02-28 12:00:00+00:00,419
gemini-2.0-flash,2025-02-28 13:00:00+00:00,152
gpt-4o,2025-02-28 13:00:00+00:00,583
gemini-2.0-flash,2025-02-28 14:00:00+00:00,248
gpt-4o,2025-02-28 14:00:00+00:00,271
gemini-2.0-flash,2025-02-28 15:00:00+00:00,299
gpt-4o,2025-02-28 15:00:00+00:00,579
gemini-2.0-flash,2025-02-28 16:00:00+00:00,66
gpt-4o,2025-02-28 16:00:00+00:00,602
gpt-4o,2025-02-28 17:00:00+00:00,550
Llama_3.2_11B,2025-02-28 18:00:00+00:00,127
gemini-2.0-flash,2025-02-28 18:00:00+00:00,337
gpt-4o,2025-02-28 18:00:00+00:00,399
Llama_3.2_11B,2025-02-28 19:00:00+00:00,331
gemini-2.0-flash,2025-02-28 19:00:00+00:00,81
gpt-4o,2025-02-28 19:00:00+00:00,568
Llama_3.2_11B,2025-02-28 20:00:00+00:00,512
gemini-2.0-flash,2025-02-28 20:00:00+00:00,80
gpt-4o,2025-02-28 20:00:00+00:00,537
Llama_3.2_11B,2025-02-28 21:00:00+00:00,482
gpt-4o,2025-02-28 21:00:00+00:00,358
gpt-4o,2025-02-28 22:00:00+00:00,626
Llama_3.2_11B,2025-02-28 23:00:00+00:00,63
gemini-2.0-flash,2025-02-28 23:00:00+00:00,60
gpt-4o,2025-02-28 23:00:00+00:00,465
llava-med-v1.5-mistral-7b,2025-02-28 23:00:00+00:00,647
Llama_3.2_11B,2025-03-01 00:00:00+00:00,141
gemini-2.0-flash,2025-03-01 00:00:00+00:00,67
gpt-4o,2025-03-01 00:00:00+00:00,375
llava-med-v1.5-mistral-7b,2025-03-01 00:00:00+00:00,811
Llama_3.2_11B,2025-03-01 01:00:00+00:00,197
gpt-4o,2025-03-01 01:00:00+00:00,173
llava-med-v1.5-mistral-7b,2025-03-01 01:00:00+00:00,509
Llama_3.2_11B,2025-03-01 02:00:00+00:00,172
gemini-2.0-flash,2025-03-01 02:00:00+00:00,109
gpt-4o,2025-03-01 02:00:00+00:00,354
llava-med-v1.5-mistral-7b,2025-03-01 02:00:00+00:00,833
Llama_3.2_11B,2025-03-01 03:00:00+00:00,165
gemini-2.0-flash,2025-03-01 03:00:00+00:00,4
gpt-4o,2025-03-01 03:00:00+00:00,515
llava-med-v1.5-mistral-7b,2025-03-01 03:00:00+00:00,803
Llama_3.2_11B,2025-03-01 04:00:00+00:00,183
gpt-4o,2025-03-01 04:00:00+00:00,579
llava-med-v1.5-mistral-7b,2025-03-01 04:00:00+00:00,484
Llama_3.2_11B,2025-03-01 05:00:00+00:00,173
gpt-4o,2025-03-01 05:00:00+00:00,403
llava-med-v1.5-mistral-7b,2025-03-01 05:00:00+00:00,784
Llama_3.2_11B,2025-03-01 06:00:00+00:00,167
gpt-4o,2025-03-01 06:00:00+00:00,359
llava-med-v1.5-mistral-7b,2025-03-01 06:00:00+00:00,646
Llama_3.2_11B,2025-03-01 07:00:00+00:00,259
gpt-4o,2025-03-01 07:00:00+00:00,168
llava-med-v1.5-mistral-7b,2025-03-01 07:00:00+00:00,577
Llama_3.2_11B,2025-03-01 08:00:00+00:00,242
gpt-4o,2025-03-01 08:00:00+00:00,184
llava-med-v1.5-mistral-7b,2025-03-01 08:00:00+00:00,758
Llama_3.2_11B,2025-03-01 09:00:00+00:00,257
gpt-4o,2025-03-01 09:00:00+00:00,159
llava-med-v1.5-mistral-7b,2025-03-01 09:00:00+00:00,557
Llama_3.2_11B,2025-03-01 10:00:00+00:00,214
llava-med-v1.5-mistral-7b,2025-03-01 10:00:00+00:00,648
Llama_3.2_11B,2025-03-01 11:00:00+00:00,406
llava-med-v1.5-mistral-7b,2025-03-01 11:00:00+00:00,767
Llama_3.2_11B,2025-03-01 12:00:00+00:00,359
llava-med-v1.5-mistral-7b,2025-03-01 12:00:00+00:00,480
Llama_3.2_11B,2025-03-01 13:00:00+00:00,194
llava-med-v1.5-mistral-7b,2025-03-01 13:00:00+00:00,686
Llama_3.2_11B,2025-03-01 14:00:00+00:00,287
llava-med-v1.5-mistral-7b,2025-03-01 14:00:00+00:00,775
Llama_3.2_11B,2025-03-01 15:00:00+00:00,260
llava-med-v1.5-mistral-7b,2025-03-01 15:00:00+00:00,437
Llama_3.2_11B,2025-03-01 16:00:00+00:00,211
llava-med-v1.5-mistral-7b,2025-03-01 16:00:00+00:00,737
Llama_3.2_11B,2025-03-01 17:00:00+00:00,159
llava-med-v1.5-mistral-7b,2025-03-01 17:00:00+00:00,792
Llama_3.2_11B,2025-03-01 18:00:00+00:00,245
llava-med-v1.5-mistral-7b,2025-03-01 18:00:00+00:00,395
CheXagent-8b,2025-03-01 19:00:00+00:00,241
Llama_3.2_11B,2025-03-01 19:00:00+00:00,230
gemini-2.0-flash,2025-03-01 19:00:00+00:00,76
gpt-4o,2025-03-01 19:00:00+00:00,17
llava-med-v1.5-mistral-7b,2025-03-01 19:00:00+00:00,898
CheXagent-8b,2025-03-01 20:00:00+00:00,1216
Llama_3.2_11B,2025-03-01 20:00:00+00:00,84
gemini-2.0-flash,2025-03-01 20:00:00+00:00,546
gpt-4o,2025-03-01 20:00:00+00:00,309
llava-med-v1.5-mistral-7b,2025-03-01 20:00:00+00:00,552
CheXagent-8b,2025-03-01 21:00:00+00:00,390
gemini-2.0-flash,2025-03-01 21:00:00+00:00,532
gpt-4o,2025-03-01 21:00:00+00:00,283
gemini-2.0-flash,2025-03-01 22:00:00+00:00,354
gpt-4o,2025-03-01 23:00:00+00:00,229
gemini-2.0-flash,2025-03-02 00:00:00+00:00,1
gpt-4o,2025-03-02 00:00:00+00:00,442
CheXagent-8b,2025-03-02 01:00:00+00:00,451
gpt-4o,2025-03-02 01:00:00+00:00,298
gpt-4o,2025-03-02 02:00:00+00:00,174
gpt-4o,2025-03-02 04:00:00+00:00,595
gpt-4o,2025-03-02 05:00:00+00:00,608
gpt-4o,2025-03-02 06:00:00+00:00,590
gpt-4o,2025-03-02 07:00:00+00:00,71
gemini-2.0-flash,2025-03-02 08:00:00+00:00,502
gpt-4o,2025-03-02 08:00:00+00:00,340
gemini-2.0-flash,2025-03-02 09:00:00+00:00,999
gpt-4o,2025-03-02 09:00:00+00:00,636
llava-med-v1.5-mistral-7b,2025-03-02 09:00:00+00:00,353
gemini-2.0-flash,2025-03-02 10:00:00+00:00,9
gpt-4o,2025-03-02 10:00:00+00:00,630
llava-med-v1.5-mistral-7b,2025-03-02 10:00:00+00:00,310
gpt-4o,2025-03-02 11:00:00+00:00,135
llava-med-v1.5-mistral-7b,2025-03-02 11:00:00+00:00,858
gemini-2.0-flash,2025-03-02 12:00:00+00:00,1
gpt-4o,2025-03-02 12:00:00+00:00,440
llava-med-v1.5-mistral-7b,2025-03-02 12:00:00+00:00,729
gpt-4o,2025-03-02 13:00:00+00:00,613
gpt-4o,2025-03-02 14:00:00+00:00,585
gpt-4o,2025-03-02 15:00:00+00:00,84
gpt-4o,2025-03-02 16:00:00+00:00,476
CheXagent-8b,2025-03-02 17:00:00+00:00,293
gpt-4o,2025-03-02 17:00:00+00:00,599
CheXagent-8b,2025-03-02 18:00:00+00:00,579
gpt-4o,2025-03-02 18:00:00+00:00,505
CheXagent-8b,2025-03-02 19:00:00+00:00,181
gpt-4o,2025-03-02 19:00:00+00:00,98
CheXagent-8b,2025-03-02 20:00:00+00:00,574
gpt-4o,2025-03-02 20:00:00+00:00,496
