case,frame_file,full_file_path,groundtruth,gpt_response,original_response,timestamp
extraction_results.csv,row0_monopolar_curved_scissors.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row0_monopolar_curved_scissors.png,monopolar curved scissors,Cadiere Forceps,"```json
{
  ""instruments"": [
    ""Cadiere Forceps""
  ]
}
```",2025-04-05 02:17:09
extraction_results.csv,row1_bipolar_forceps.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row1_bipolar_forceps.png,bipolar forceps,"Monopolar Curved Scissors, Cadiere Forceps","{
  ""instruments"": [
    ""Monopolar Curved Scissors"",
    ""Cadiere Forceps""
  ]
}",2025-04-05 02:17:18
extraction_results.csv,row2_bipolar_forceps.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row2_bipolar_forceps.png,bipolar forceps,"Monopolar Curved Scissors, Maryland Bipolar Forceps, Cadiere Forceps","{
  ""instruments"": [
    ""Monopolar Curved Scissors"",
    ""Maryland Bipolar Forceps"",
    ""Cadiere Forceps""
  ]
}",2025-04-05 02:17:27
extraction_results.csv,row3_grasping_retractor.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row3_grasping_retractor.png,grasping retractor,"Monopolar Curved Scissors, Maryland Bipolar Forceps, Small Grasping Retractor","```json
{
  ""instruments"": [
    ""Monopolar Curved Scissors"",
    ""Maryland Bipolar Forceps"",
    ""Small Grasping Retractor""
  ]
}
```",2025-04-05 02:17:35
extraction_results.csv,row4_grasping_retractor.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row4_grasping_retractor.png,grasping retractor,"Monopolar Curved Scissors, Maryland Bipolar Forceps, Small Grasping Retractor","{
  ""instruments"": [
    ""Monopolar Curved Scissors"",
    ""Maryland Bipolar Forceps"",
    ""Small Grasping Retractor""
  ]
}",2025-04-05 02:17:44
extraction_results.csv,row5_needle_driver.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row5_needle_driver.png,needle driver,"Mega Needle Driver, Small Grasping Retractor","{
  ""instruments"": [
    ""Mega Needle Driver"",
    ""Small Grasping Retractor""
  ]
}",2025-04-05 02:17:53
extraction_results.csv,row6_needle_driver.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row6_needle_driver.png,needle driver,"Mega Needle Driver, Mega SutureCut Needle Driver, Small Grasping Retractor","{
  ""instruments"": [
    ""Mega Needle Driver"",
    ""Mega SutureCut Needle Driver"",
    ""Small Grasping Retractor""
  ]
}",2025-04-05 02:18:01
extraction_results.csv,row7_bipolar_forceps.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row7_bipolar_forceps.png,bipolar forceps,"Maryland Bipolar Forceps, Small Grasping Retractor","{
  ""instruments"": [
    ""Maryland Bipolar Forceps"",
    ""Small Grasping Retractor""
  ]
}",2025-04-05 02:18:10
extraction_results.csv,row8_bipolar_forceps.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row8_bipolar_forceps.png,bipolar forceps,"Maryland Bipolar Forceps, Small Grasping Retractor","{
  ""instruments"": [
    ""Maryland Bipolar Forceps"",
    ""Small Grasping Retractor""
  ]
}",2025-04-05 02:18:19
extraction_results.csv,row9_monopolar_curved_scissors.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row9_monopolar_curved_scissors.png,monopolar curved scissors,"Monopolar Curved Scissors, Maryland Bipolar Forceps, Small Grasping Retractor","{
  ""instruments"": [
    ""Monopolar Curved Scissors"",
    ""Maryland Bipolar Forceps"",
    ""Small Grasping Retractor""
  ]
}",2025-04-05 02:18:28
extraction_results.csv,row10_clip_applier.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row10_clip_applier.png,clip applier ,"Large Clip Applier, Maryland Bipolar Forceps","{
  ""instruments"": [""Large Clip Applier"", ""Maryland Bipolar Forceps""]
}",2025-04-05 02:18:38
extraction_results.csv,row11_clip_applier.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row11_clip_applier.png,clip applier ,"Large Clip Applier, Maryland Bipolar Forceps, Small Grasping Retractor","{
  ""instruments"": [
    ""Large Clip Applier"",
    ""Maryland Bipolar Forceps"",
    ""Small Grasping Retractor""
  ]
}",2025-04-05 02:18:47
extraction_results.csv,row12_clip_applier.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row12_clip_applier.png,clip applier ,"Large Clip Applier, Maryland Bipolar Forceps, Small Grasping Retractor","{
  ""instruments"": [
    ""Large Clip Applier"",
    ""Maryland Bipolar Forceps"",
    ""Small Grasping Retractor""
  ]
}",2025-04-05 02:18:57
extraction_results.csv,row13_clip_applier.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row13_clip_applier.png,clip applier ,,"{
  ""instruments"": []
}",2025-04-05 02:19:07
extraction_results.csv,row14_clip_applier.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row14_clip_applier.png,clip applier ,"Maryland Bipolar Forceps, Small Grasping Retractor","{
  ""instruments"": [
    ""Maryland Bipolar Forceps"",
    ""Small Grasping Retractor""
  ]
}",2025-04-05 02:19:16
extraction_results.csv,row15_clip_applier.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row15_clip_applier.png,clip applier ,"Large Clip Applier, Maryland Bipolar Forceps, Small Grasping Retractor","```json
{
  ""instruments"": [
    ""Large Clip Applier"",
    ""Maryland Bipolar Forceps"",
    ""Small Grasping Retractor""
  ]
}
```",2025-04-05 02:19:26
extraction_results.csv,row16_clip_applier.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row16_clip_applier.png,clip applier ,"Large Clip Applier, Maryland Bipolar Forceps","{
  ""instruments"": [
    ""Large Clip Applier"",
    ""Maryland Bipolar Forceps""
  ]
}",2025-04-05 10:06:43
extraction_results.csv,row17_monopolar_curved_scissors.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row17_monopolar_curved_scissors.png,monopolar curved scissors,"Monopolar Curved Scissors, Maryland Bipolar Forceps, Small Grasping Retractor","{
  ""instruments"": [
    ""Monopolar Curved Scissors"",
    ""Maryland Bipolar Forceps"",
    ""Small Grasping Retractor""
  ]
}",2025-04-05 10:06:53
extraction_results.csv,row18_stapler.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row18_stapler.png,stapler,Monopolar Curved Scissors,"{
  ""instruments"": [
    ""Monopolar Curved Scissors""
  ]
}",2025-04-05 10:07:02
extraction_results.csv,row19_cadiere_forceps.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row19_cadiere_forceps.png,cadiere forceps,,"```json
{
  ""instruments"": []
}
```",2025-04-05 10:07:15
extraction_results.csv,row20_force_bipolar.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row20_force_bipolar.png,force bipolar,Cadiere Forceps,"{
  ""instruments"": [
    ""Cadiere Forceps""
  ]
}",2025-04-05 10:07:24
extraction_results.csv,row21_force_bipolar.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row21_force_bipolar.png,force bipolar,"Force Bipolar, Cadiere Forceps","{
  ""instruments"": [
    ""Force Bipolar"",
    ""Cadiere Forceps""
  ]
}",2025-04-05 10:07:32
extraction_results.csv,row22_tip-up_fenestrated_grasper.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row22_tip-up_fenestrated_grasper.png,tip-up fenestrated grasper,,"{
  ""instruments"": []
}",2025-04-05 10:07:41
extraction_results.csv,row23_tip-up_fenestrated_grasper.png,/Volumes/TVault2/datasets/sugvu24/extracted_frames/case_001/row23_tip-up_fenestrated_grasper.png,tip-up fenestrated grasper,"Force Bipolar, Cadiere Forceps, Tip-Up Fenestrated Grasper","```json
{
  ""instruments"": [
    ""Force Bipolar"",
    ""Cadiere Forceps"",
    ""Tip-Up Fenestrated Grasper""
  ]
}
```",2025-04-05 10:07:51
